account-management-ws,Virendra-Konade1
account-provisioning-ws,mashimpi
action-mgmt-apis,Shivani-Mittal2
analytics-payload-server,ambadwa1
analytics-reporting,ambadwa1
analytics-services,ambadwa1
android-view,monshar7
android-ws,monshar7
api-docs-services,daggarw4
app-management,daggarw4
app-mgmt-apis,daggarw4
apple-web-services,pkulka74
application-apis,daggarw4
atom-feed-server,ambadwa1
auth-keys-ws,vinikum3
auth-ws,vinikum3
bulk-payload-upload-server,vinikum3
ce-ext-api-server,himanshu-sao-ibm
ce-messaging-apis,himanshu-sao-ibm
ce-web-services,himanshu-sao-ibm
cert-gen-server,himanshu-sao-ibm
cloud-integration-portal,deepadsh
cloud-integration-server,deepadsh
cognitive-assistant,skarodiy
community-insight-ws,ambadwa1
community-insights,ambadwa1
device-enrollment,vigneshwaran-anbarasan-ibm
device-view,vinikum3
device-web-services,vinikum3
distributable-ws,daggarw4
doc-management,daggarw4
dp,vigneshwaran-anbarasan-ibm
emc,ambadwa1
enduser-portal,vigneshwaran-anbarasan-ibm
enrollment-web-services,vigneshwaran-anbarasan-ibm
expense-mgmt-ui,vinikum3
FortressLogin,vinikum3
global-endpoint,bhamaram
global-search-ws,ambadwa1
group-web-services,vigneshwaran-anbarasan-ibm
heartbeatserver,vinikum3
identity-ws,deepadsh
ios-mdm,pkulka74
ios-portal,pkulka74
ios-web-services,pkulka74
license-management-ws,bhamaram
license-web,himanshu-sao-ibm
location-web-services,vinikum3
maas-chat,daggarw4
manifestgenserver,daggarw4
mdm-web,monshar7
notification-server,himanshu-sao-ibm
notification-apis,vigneshwaran-anbarasan-ibm
notification-batch,vigneshwaran-anbarasan-ibm
tenant-migration-app,daggarw4
osx-mdm,manas-pandey
partner-integration-ws,bhamaram Sushma-Nagaraj
patch-mgmt,himmitt1
payload-upload-server,vinikum3
policy-management-ws,vinikum3
policy-self-service,vinikum3
portal-mgmt-apis,ambadwa1
portalmanager,ambadwa1
provisioning-web-services,bhamaram
push-notify-device-mgmt,himanshu-sao-ibm
push-notify-gateway,himanshu-sao-ibm
registration-portal,bhamaram
registrationserver,vinikum3
remote-control,monshar7
reports-ui,ambadwa1
risk-dashboard-services,skarodiy
rule-management-ws,vinikum3
rules-ui,vinikum3
software-distribution,daggarw4
software-management,himanshu-sao-ibm
teamviewer-management,monshar7
ui-resources,ambadwa1
user-management,vigneshwaran-anbarasan-ibm
user-mgmt-apis,vigneshwaran-anbarasan-ibm
vault-web-services,vinikum3
web-fortress,ambadwa1
win-mdm-web,himmitt1
win-ui,himmitt1
win-ws,himmitt1
zebra-printer-mgmt,himanshu-sao-ibm
risk-engine,skarodiy
analytics-batch-app,skarodiy
analytics-db-logger,skarodiy
android-batch-jobs,monshar7
android-cleanup-jobs,monshar7
android-mdm-batch-app,monshar7
apollo-datasync,deepadsh
apollo-sync-job,deepadsh
app-event-processor,daggarw4
apple-apps-processor,pkulka74
apple-batch-app,pkulka74
appstore-data-fetch,daggarw4
bulk-consumer,vinikum3
bulk-producer,vinikum3
ce-batch-app,himanshu-sao-ibm
cert-req-generator,himanshu-sao-ibm
chrome-batch-app,monshar7
client-success-jobs,ambadwa1
cloud-integration-process,deepadsh
consumer,vinikum3
datacopy,bhamaram
db-event-processor,ambadwa1
dep-batch-app,pkulka74
device-batch-app,vinikum3
docs-notification,daggarw4
event-consumer,vinikum3
group-actions,vigneshwaran-anbarasan-ibm
hi-chart-emails,skarodiy
janitor-jobs,bhamaram
license-management-batch-app,bhamaram
manifest-generator,daggarw4
mdm-notification,monshar7
merge-processor,himanshu-sao-ibm
minipss,vinikum3
portal-jobs,ambadwa1
producer,vinikum3
registration-services,bhamaram
risk-score-connectors,skarodiy
support-jobs,ambadwa1
uem-batch-app,himmitt1
vpp-batch-app,pkulka74
watchlist-mail-processor,ambadwa1
webhook,bhamaram
win-app-processor,himmitt1
windows-batch-app,himmitt1
lm-jobs,bhamaram
win-action-processor,himmitt1
risk-rule-evt-processor,prkeshar
mtd-processor,skarodiy
admin-auth-apis,vinikum3
analytics-batch-jobs,skarodiy
android-apps-processor,monshar7
android-policy-mgmt-app,monshar7
app-config-processor,daggarw4
app-status-event-processor,daggarw4
apple-app-distribution,pkulka74
apple-message-consumer,pkulka74
apple-policy-distribution,pkulka74
apps-ws,daggarw4
device-attribute-change-processor,vinikum3
insider-threat-batch-app,skarodiy
policy-events-consumer,vinikum3
policy-self-service-apis,vinikum3
policy-metadata-upload-app,vinikum3
portal-manager-apis,ambadwa1
reputation-service-ws,skarodiy
retry-delay-app,daggarw4
security-event-ws,skarodiy
ui-api-android,monshar7
ui-api-app-mgmt,daggarw4
ui-api-ios,pkulka74
win-apps-kafka-consumers,himmitt1
win-policy-processor,himmitt1
win-user-event-processor,himmitt1
threat-connector-agent-ws,skarodiy
threat-connector-config-ws,skarodiy
threat-event-identities-ws,skarodiy
device-mgmt-apis,vinikum3
amapi-google-web-service,monshar7
android-amapi-web,monshar7
users-batch-app,vigneshwaran-anbarasan-ibm
ssm-subscription-manager,bhamaram
android-actions-processor,monshar7
vpp-event-processor,pkulka74
insider-threat-evt-processor,skarodiy
eventdata-inspection-agent-app,skarodiy
zt-analytics-batch-app,skarodiy
apple-action-consumer,pkulka74
lm-api,bhamaram
app-reputation-dashboard-service,himmitt1
public-app-data-processor,himmitt1
restriction-ws,vinikum3
scim-provisioning-apis,deepadsh
scim-processor,deepadsh
emc-apis,ambadwa1
portal,ambadwa1
ui-app-mgmt,daggarw4
ui-common-android-components,monshar7
ui-commons,ambadwa1
ui-common-ios-components,pkulka74
ui-container-app,ambadwa1
ui-policy-management,vinikum3
ui-security-dashboard,skarodiy
threat-connector-ui,skarodiy
ui-license-manager-activator,bhamaram
ui-actions-log,daggarw4
ui-app-security-dashboard,himmitt1
ui-directory-integrations,deepadsh
ui-advanced-branding,sameerdeshpande
ui-home,ambadwa1
