image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2016-1000027","https://nvd.nist.gov/vuln/detail/CVE-2016-1000027 - twistlock","critical","5.3.14","6.0.0","2020-01-02",,"spring-web","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/spring-web-5.3.14.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2017-17485","https://nvd.nist.gov/vuln/detail/CVE-2017-17485 - twistlock","critical","2.3.3","2.9.4","2018-01-10",,"jackson-databind","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/ehcache-2.10.0.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(analyzed)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2017-7525","https://nvd.nist.gov/vuln/detail/CVE-2017-7525 - twistlock","critical","2.3.3","2.8.9","2018-02-06",,"jackson-databind","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/ehcache-2.10.0.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2017-7657","https://nvd.nist.gov/vuln/detail/CVE-2017-7657 - twistlock","critical","8.1.15.v20140411","9.4.11;9.3.24.v20180605","2018-06-26",,"jetty-io;jetty-server","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/ehcache-2.10.0.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2017-7658","https://nvd.nist.gov/vuln/detail/CVE-2017-7658 - twistlock","critical","8.1.15.v20140411","9.4.11;9.4.11.v20180605","2018-06-26",,"jetty-io;jetty-server","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/ehcache-2.10.0.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2018-1000802","https://nvd.nist.gov/vuln/detail/CVE-2018-1000802 - twistlock","critical","2.7.5","2.7.16","2018-09-18",,"python","app","/usr/bin/python2.7","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"20","0","true",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2018-7489","https://nvd.nist.gov/vuln/detail/CVE-2018-7489 - twistlock","critical","2.3.3","2.9.5","2018-02-26",,"jackson-databind","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/ehcache-2.10.0.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2020-10683","https://nvd.nist.gov/vuln/detail/CVE-2020-10683 - twistlock","critical","1.6.1","2.1.3","2020-05-01",,"dom4j","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/dom4j-1.6.1.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2022-1471","https://nvd.nist.gov/vuln/detail/CVE-2022-1471 - twistlock","critical","1.30;1.29","2.0","2022-12-01",,"snakeyaml","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/snakeyaml-1.30.jar;/opt/ibm/jmx_prometheus_javaagent-0.16.1.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43;24","11;2","false;true",,"twistlock","nvd-status(modified)"
"automation-saas-platform-m360-cicd-argocd-ejbca-ra-1.21","1.21","sha256:88890375d5d691a2a10befc30c6f8022119e939b31bf6f247eae503ff9bc912d","linux:amd64:","Yes","CVE-2022-22965","https://nvd.nist.gov/vuln/detail/CVE-2022-22965 - twistlock","critical","5.3.14","5.3.18","2022-04-01",,"spring-beans;spring-core;spring-web;spring-webmvc","jar","/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/spring-beans-5.3.14.jar;/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/spring-core-5.3.14.jar;/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/spring-web-5.3.14.jar;/batch/ejbca-ra/ejbca-ra-1.3-boot.jar/spring-webmvc-5.3.14.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"43","11","false",,"twistlock","cisa-kev;nvd-status(analyzed)"
