image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2018-17189","https://nvd.nist.gov/vuln/detail/CVE-2018-17189 - twistlock","medium","2.4.37","2.4.38","2019-01-30",,"httpd","app","/usr/sbin/httpd","medium - twistlock","5.3 - twistlock","5.3",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2018-17199","https://nvd.nist.gov/vuln/detail/CVE-2018-17199 - twistlock","high","2.4.37","2.4.38","2019-01-30",,"httpd","app","/usr/sbin/httpd","high - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0190","https://nvd.nist.gov/vuln/detail/CVE-2019-0190 - twistlock","high","2.4.37","2.4.38","2019-01-30",,"httpd","app","/usr/sbin/httpd","high - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0196","https://nvd.nist.gov/vuln/detail/CVE-2019-0196 - twistlock","medium","2.4.37","2.4.39","2019-06-11",,"httpd","app","/usr/sbin/httpd","medium - twistlock","5.3 - twistlock","5.3",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0197","https://nvd.nist.gov/vuln/detail/CVE-2019-0197 - twistlock","medium","2.4.37","2.4.39","2019-06-11",,"httpd","app","/usr/sbin/httpd","medium - twistlock","4.2 - twistlock","4.2",,,,,"CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:L",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0211","https://nvd.nist.gov/vuln/detail/CVE-2019-0211 - twistlock","high","2.4.37","2.4.39","2019-04-08",,"httpd","app","/usr/sbin/httpd","high - twistlock","7.8 - twistlock","7.8",,,,,"CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,"24","1","true",,"twistlock","cisa-kev;exploitdb-ref(46676;unverified);nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0215","https://nvd.nist.gov/vuln/detail/CVE-2019-0215 - twistlock","high","2.4.37","2.4.39","2019-04-08",,"httpd","app","/usr/sbin/httpd","high - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0217","https://nvd.nist.gov/vuln/detail/CVE-2019-0217 - twistlock","high","2.4.37","2.4.39","2019-04-08",,"httpd","app","/usr/sbin/httpd","high - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-0220","https://nvd.nist.gov/vuln/detail/CVE-2019-0220 - twistlock","medium","2.4.37","2.4.39","2019-06-11",,"httpd","app","/usr/sbin/httpd","medium - twistlock","5.3 - twistlock","5.3",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N",,"24","1","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-advanced-branding","0.1.2","sha256:5b32db8d6baee71dfd5747f2bbf478f1007843255857f311e38ca3a01a8eed75","linux:amd64:","Yes","CVE-2019-10081","https://nvd.nist.gov/vuln/detail/CVE-2019-10081 - twistlock","high","2.4.37","2.4.40","2019-08-15",,"httpd","app","/usr/sbin/httpd","high - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"24","1","true",,"twistlock","nvd-status(modified)"
