image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2020-19188","https://access.redhat.com/security/cve/CVE-2020-19188 - twistlock","low","6.1-10.20180224.el8",,"2023-08-22",,"ncurses-base;ncurses-libs","os",,"low - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2020-20703","https://access.redhat.com/security/cve/CVE-2020-20703 - twistlock","low","8.0.1763-19.el8_6.4",,"2023-06-20",,"vim-minimal","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"22","0","true",,"twistlock","nvd-status(undergoing analysis)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2021-39537","https://access.redhat.com/security/cve/CVE-2021-39537 - twistlock","low","6.1-10.20180224.el8",,"2021-09-20",,"ncurses-base;ncurses-libs","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,"22","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2021-43618","https://access.redhat.com/security/cve/CVE-2021-43618 - twistlock","medium","6.1.2-10.el8",,"2021-11-15",,"gmp","os",,"medium - twistlock","6.2 - twistlock","6.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"22","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2022-2182","https://access.redhat.com/security/cve/CVE-2022-2182 - twistlock","low","8.0.1763-19.el8_6.4",,"2022-06-23",,"vim-minimal","os",,"low - twistlock","7.8 - twistlock","7.8",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,"22","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2022-2923","https://access.redhat.com/security/cve/CVE-2022-2923 - twistlock","low","8.0.1763-19.el8_6.4",,"2022-08-22",,"vim-minimal","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2022-47007","https://access.redhat.com/security/cve/CVE-2022-47007 - twistlock","low","8.2-20.el8",,"2023-08-22",,"gdb-gdbserver","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2022-47010","https://access.redhat.com/security/cve/CVE-2022-47010 - twistlock","low","8.2-20.el8",,"2023-08-22",,"gdb-gdbserver","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2022-47011","https://access.redhat.com/security/cve/CVE-2022-47011 - twistlock","low","8.2-20.el8",,"2023-08-22",,"gdb-gdbserver","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-com.ibm.maas360.ui-ui-container-app-0.1.42","0.1.42","sha256:43ddee260e9649709add1b28d0c123bab8096f45bc68b57b81e13ae90c2edeb2","linux:amd64:","No","CVE-2023-28322","https://access.redhat.com/security/cve/CVE-2023-28322 - twistlock","low","7.61.1-33.el8",,"2023-05-26",,"curl;libcurl","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N",,"22","0","true",,"twistlock","nvd-status(undergoing analysis)"
