image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","Yes","CVE-2015-1283","https://nvd.nist.gov/vuln/detail/CVE-2015-1283 - twistlock","medium","2.7.5","44.0.2403.89","2015-07-23",,"python","app","/usr/bin/python2.7","medium - twistlock","6.8 - twistlock","6.8",,,,,"AV:N/AC:M/Au:N/C:P/I:P/A:P",,"20","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","No","CVE-2015-4041","https://access.redhat.com/security/cve/CVE-2015-4041 - twistlock","low","8.22-24.el7_9.2",,"2020-01-24",,"coreutils","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,"20","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","No","CVE-2015-4042","https://access.redhat.com/security/cve/CVE-2015-4042 - twistlock","low","8.22-24.el7_9.2",,"2020-01-24",,"coreutils","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"20","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","Yes","CVE-2015-5652","https://nvd.nist.gov/vuln/detail/CVE-2015-5652 - twistlock","high","2.7.5","3.5.1","2015-10-06",,"python","app","/usr/bin/python2.7","high - twistlock","7.2 - twistlock","7.2",,,,,"AV:L/AC:L/Au:N/C:C/I:C/A:C",,"20","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","No","CVE-2015-8982","https://access.redhat.com/security/cve/CVE-2015-8982 - twistlock","low","2.17-326.el7_9",,"2017-03-15",,"glibc;glibc-common","os",,"low - twistlock","2.6 - twistlock","2.6",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,"20","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","No","CVE-2015-8983","https://access.redhat.com/security/cve/CVE-2015-8983 - twistlock","medium","2.17-326.el7_9",,"2017-03-20",,"glibc;glibc-common","os",,"medium - twistlock","4.4 - twistlock","4.4",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,"20","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","No","CVE-2015-8984","https://access.redhat.com/security/cve/CVE-2015-8984 - twistlock","low","2.17-326.el7_9",,"2017-03-20",,"glibc;glibc-common","os",,"low - twistlock","1.2 - twistlock","1.2",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H",,"20","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","No","CVE-2015-8985","https://access.redhat.com/security/cve/CVE-2015-8985 - twistlock","low","2.17-326.el7_9",,"2017-03-20",,"glibc;glibc-common","os",,"low - twistlock","1.9 - twistlock","1.9",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H",,"20","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","Yes","CVE-2017-18207","https://nvd.nist.gov/vuln/detail/CVE-2017-18207 - twistlock","medium","2.7.5","3.6.5","2018-03-01",,"python","app","/usr/bin/python2.7","medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"20","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-com.ibm.maas360.ui-ui-common-android-components","10.90.4","sha256:67f8004fd8080a36720f3b311563a91ff9d7b0ae039c63c6381904e93a7263c7","linux:amd64:","Yes","CVE-2018-1000802","https://nvd.nist.gov/vuln/detail/CVE-2018-1000802 - twistlock","critical","2.7.5","2.7.16","2018-09-18",,"python","app","/usr/bin/python2.7","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"20","0","true",,"twistlock","nvd-status(modified)"
