image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2015-1796","https://nvd.nist.gov/vuln/detail/CVE-2015-1796 - twistlock","medium","2.5.1-1","2.6.5","2015-07-08",,"opensaml","jar","/opt/batch/threat-event-identities-ws/threat-event-identities-ws-boot.jar/opensaml-2.5.1-1.jar","medium - twistlock","4.3 - twistlock","4.3",,,,,"AV:N/AC:M/Au:N/C:N/I:P/A:N",,"42","11","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2016-1000027","https://nvd.nist.gov/vuln/detail/CVE-2016-1000027 - twistlock","critical","5.3.29","6.0.0","2020-01-02",,"spring-web","jar","/opt/batch/threat-event-identities-ws/threat-event-identities-ws-boot.jar/spring-web-5.3.29.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"42","11","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2017-7536","https://nvd.nist.gov/vuln/detail/CVE-2017-7536 - twistlock","high","5.2.2.Final","5.2.5","2018-01-10",,"hibernate-validator","jar","/opt/batch/threat-event-identities-ws/threat-event-identities-ws-boot.jar/hibernate-validator-5.2.2.Final.jar","high - twistlock","7 - twistlock","7",,,,,"CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,"42","11","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2018-20200","https://nvd.nist.gov/vuln/detail/CVE-2018-20200 - twistlock","medium","3.12.0","3.12.1","2019-04-18",,"okhttp","jar","/opt/batch/threat-event-identities-ws/threat-event-identities-ws-boot.jar/okhttp-3.12.0.jar","medium - twistlock","5.9 - twistlock","5.9",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N",,"42","11","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2019-10219","https://nvd.nist.gov/vuln/detail/CVE-2019-10219 - twistlock","medium","5.2.2.Final","6.0.18","2019-11-08",,"hibernate-validator","jar","/opt/batch/threat-event-identities-ws/threat-event-identities-ws-boot.jar/hibernate-validator-5.2.2.Final.jar","medium - twistlock","6.1 - twistlock","6.1",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,"42","11","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2019-13224","https://access.redhat.com/errata/RHSA-2024:0889 - twistlock","medium","6.8.2-2.el8","6.8.2-2.1.el8_9","2019-07-10",,"oniguruma","os",,"medium - twistlock","6.8 - twistlock","6.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"33","6","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2019-16163","https://access.redhat.com/errata/RHSA-2024:0889 - twistlock","medium","6.8.2-2.el8","6.8.2-2.1.el8_9","2019-09-09",,"oniguruma","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"33","6","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2019-17495","https://nvd.nist.gov/vuln/detail/CVE-2019-17495 - twistlock","critical","3.1.7","3.23.11","2019-10-15",,"swagger-ui","jar","/opt/batch/threat-event-identities-ws/threat-event-identities-ws-boot.jar/swagger-ui-3.1.7.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"42","11","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2019-19012","https://access.redhat.com/errata/RHSA-2024:0889 - twistlock","medium","6.8.2-2.el8","6.8.2-2.1.el8_9","2019-11-17",,"oniguruma","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"33","6","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-threat-event-identities-ws-10.91-REL-20240226.194850","10.91-REL-20240226.194850","sha256:e5614cf534458ec578c430c9c227375946a8e771b637b7c542e6133a7322af61","linux:amd64:","Yes","CVE-2019-19203","https://access.redhat.com/errata/RHSA-2024:0889 - twistlock","medium","6.8.2-2.el8","6.8.2-2.1.el8_9","2019-11-21",,"oniguruma","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"33","6","true",,"twistlock","nvd-status(modified)"
