image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","Yes","CVE-2015-1283","https://nvd.nist.gov/vuln/detail/CVE-2015-1283 - twistlock","medium","2.7.5","44.0.2403.89","2015-07-23",,"python","app","/usr/bin/python2.7","medium - twistlock","6.8 - twistlock","6.8",,,,,"AV:N/AC:M/Au:N/C:P/I:P/A:P",,"22","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","Yes","CVE-2015-1796","https://nvd.nist.gov/vuln/detail/CVE-2015-1796 - twistlock","medium","2.5.1-1","2.6.5","2015-07-08",,"opensaml","jar","/opt/tomcat/webapps/user-management.war/opensaml-2.5.1-1.jar","medium - twistlock","4.3 - twistlock","4.3",,,,,"AV:N/AC:M/Au:N/C:N/I:P/A:N",,"33","6","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","No","CVE-2015-4041","https://access.redhat.com/security/cve/CVE-2015-4041 - twistlock","low","8.22-24.el7_9.2",,"2020-01-24",,"coreutils","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,"22","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","No","CVE-2015-4042","https://access.redhat.com/security/cve/CVE-2015-4042 - twistlock","low","8.22-24.el7_9.2",,"2020-01-24",,"coreutils","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"22","0","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","Yes","CVE-2015-5652","https://nvd.nist.gov/vuln/detail/CVE-2015-5652 - twistlock","high","2.7.5","3.5.1","2015-10-06",,"python","app","/usr/bin/python2.7","high - twistlock","7.2 - twistlock","7.2",,,,,"AV:L/AC:L/Au:N/C:C/I:C/A:C",,"22","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","No","CVE-2015-8982","https://access.redhat.com/security/cve/CVE-2015-8982 - twistlock","low","2.17-326.el7_9",,"2017-03-15",,"glibc;glibc-common;glibc-devel;glibc-headers","os",,"low - twistlock","2.6 - twistlock","2.6",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,"22;36","0;7","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","No","CVE-2015-8983","https://access.redhat.com/security/cve/CVE-2015-8983 - twistlock","medium","2.17-326.el7_9",,"2017-03-20",,"glibc;glibc-common;glibc-devel;glibc-headers","os",,"medium - twistlock","4.4 - twistlock","4.4",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,"22;36","0;7","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","No","CVE-2015-8984","https://access.redhat.com/security/cve/CVE-2015-8984 - twistlock","low","2.17-326.el7_9",,"2017-03-20",,"glibc;glibc-common;glibc-devel;glibc-headers","os",,"low - twistlock","1.2 - twistlock","1.2",,,,,"CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H",,"22;36","0;7","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","No","CVE-2015-8985","https://access.redhat.com/security/cve/CVE-2015-8985 - twistlock","low","2.17-326.el7_9",,"2017-03-20",,"glibc;glibc-common;glibc-devel;glibc-headers","os",,"low - twistlock","1.9 - twistlock","1.9",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H",,"22;36","0;7","true",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","Yes","CVE-2016-1000027","https://nvd.nist.gov/vuln/detail/CVE-2016-1000027 - twistlock","critical","5.3.27","6.0.0","2020-01-02",,"spring-web","jar","/opt/tomcat/webapps/user-management.war/spring-web-5.3.27.jar","critical - twistlock","9.8 - twistlock","9.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"33","6","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","Yes","CVE-2016-5000","https://nvd.nist.gov/vuln/detail/CVE-2016-5000 - twistlock","medium","3.12","3.14","2016-08-05",,"poi-ooxml","jar","/opt/tomcat/webapps/user-management.war/poi-ooxml-3.12.jar","medium - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N",,"33","6","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-apps-gold-user-management","10.90-REL-20231220.073446","sha256:d8e25c0dff22628d7bcdda14d0c4c8e88a8951b998639e0a7b569f07e8b90f7a","linux:amd64:","Yes","CVE-2017-12626","https://nvd.nist.gov/vuln/detail/CVE-2017-12626 - twistlock","high","3.12","3.17","2018-01-29",,"poi;poi-ooxml","jar","/opt/tomcat/webapps/user-management.war/poi-3.12.jar;/opt/tomcat/webapps/user-management.war/poi-ooxml-3.12.jar","high - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"33","6","true",,"twistlock","nvd-status(modified)"
