image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2020-19188","https://access.redhat.com/security/cve/CVE-2020-19188 - twistlock","low","6.1-10.20180224.el8",,"2023-08-22",,"ncurses-base;ncurses-libs","os",,"low - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2020-20703","https://access.redhat.com/security/cve/CVE-2020-20703 - twistlock","low","8.0.1763-19.el8_6.4",,"2023-06-20",,"vim-minimal","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(undergoing analysis)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","Yes","CVE-2021-35937","https://access.redhat.com/errata/RHSA-2024:0647 - twistlock","medium","4.14.3-26.el8","4.14.3-28.el8_9","2022-08-25",,"python3-rpm;rpm;rpm-build-libs;rpm-libs","os",,"medium - twistlock","6.3 - twistlock","6.3",,,,,"CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","Yes","CVE-2021-35938","https://access.redhat.com/errata/RHSA-2024:0647 - twistlock","medium","4.14.3-26.el8","4.14.3-28.el8_9","2022-08-25",,"python3-rpm;rpm;rpm-build-libs;rpm-libs","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","Yes","CVE-2021-35939","https://access.redhat.com/errata/RHSA-2024:0647 - twistlock","medium","4.14.3-26.el8","4.14.3-28.el8_9","2022-08-26",,"python3-rpm;rpm;rpm-build-libs;rpm-libs","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2021-39537","https://access.redhat.com/security/cve/CVE-2021-39537 - twistlock","low","6.1-10.20180224.el8",,"2021-09-20",,"ncurses-base;ncurses-libs","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2021-43618","https://access.redhat.com/security/cve/CVE-2021-43618 - twistlock","medium","6.1.2-10.el8",,"2021-11-15",,"gmp","os",,"medium - twistlock","6.2 - twistlock","6.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2022-2182","https://access.redhat.com/security/cve/CVE-2022-2182 - twistlock","low","8.0.1763-19.el8_6.4",,"2022-06-23",,"vim-minimal","os",,"low - twistlock","7.8 - twistlock","7.8",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2022-2923","https://access.redhat.com/security/cve/CVE-2022-2923 - twistlock","low","8.0.1763-19.el8_6.4",,"2022-08-22",,"vim-minimal","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-apache-react-0.1","0.1","sha256:d9255dc3300e656430b2a2987d2280fdb41a53531cc7dbcd8d29c7481ab068fa","linux:amd64:","No","CVE-2022-47007","https://access.redhat.com/security/cve/CVE-2022-47007 - twistlock","low","8.2-20.el8",,"2023-08-22",,"gdb-gdbserver","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
