image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2020-10735","https://access.redhat.com/errata/RHSA-2023:0833 - twistlock","medium","3.6.8-48.el8_7","3.6.8-48.el8_7.1","2022-09-09",,"platform-python;python3-libs","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2020-19188","https://access.redhat.com/security/cve/CVE-2020-19188 - twistlock","low","6.1-9.20180224.el8",,"2023-08-22",,"ncurses;ncurses-base;ncurses-libs","os",,"low - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2020-24736","https://access.redhat.com/errata/RHSA-2023:3840 - twistlock","medium","3.26.0-17.el8_7","3.26.0-18.el8_8","2023-04-11",,"sqlite-libs","os",,"medium - twistlock","6.2 - twistlock","6.2",,,,,"CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(awaiting analysis)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2021-28861","https://access.redhat.com/errata/RHSA-2023:0833 - twistlock","medium","3.6.8-48.el8_7","3.6.8-48.el8_7.1","2022-08-23",,"platform-python;python3-libs","os",,"medium - twistlock","7.4 - twistlock","7.4",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N",,"3","2","false",,"twistlock","nvd-disputed;nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2021-35937","https://access.redhat.com/errata/RHSA-2024:0647 - twistlock","medium","4.14.3-24.el8_7","4.14.3-28.el8_9","2022-08-25",,"rpm;rpm-libs","os",,"medium - twistlock","6.3 - twistlock","6.3",,,,,"CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2021-35938","https://access.redhat.com/errata/RHSA-2024:0647 - twistlock","medium","4.14.3-24.el8_7","4.14.3-28.el8_9","2022-08-25",,"rpm;rpm-libs","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2021-35939","https://access.redhat.com/errata/RHSA-2024:0647 - twistlock","medium","4.14.3-24.el8_7","4.14.3-28.el8_9","2022-08-26",,"rpm;rpm-libs","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2021-39537","https://access.redhat.com/security/cve/CVE-2021-39537 - twistlock","low","6.1-9.20180224.el8",,"2021-09-20",,"ncurses;ncurses-base;ncurses-libs","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2021-43618","https://access.redhat.com/security/cve/CVE-2021-43618 - twistlock","medium","6.1.2-10.el8",,"2021-11-15",,"gmp","os",,"medium - twistlock","6.2 - twistlock","6.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-35252","https://access.redhat.com/errata/RHSA-2023:2963 - twistlock","low","7.61.1-25.el8_7.1","7.61.1-30.el8","2022-09-23",,"curl;libcurl","os",,"low - twistlock","3.1 - twistlock","3.1",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-36227","https://access.redhat.com/errata/RHSA-2023:3018 - twistlock","low","3.3.3-4.el8","3.3.3-5.el8","2022-11-22",,"libarchive","os",,"low - twistlock","5.9 - twistlock","5.9",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-40897","https://access.redhat.com/errata/RHSA-2023:0835 - twistlock","medium","39.2.0-6.el8","39.2.0-6.el8_7.1","2022-12-23",,"platform-python-setuptools;python3-setuptools-wheel","os",,"medium - twistlock","5.9 - twistlock","5.9",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-4304","https://access.redhat.com/errata/RHSA-2023:1405 - twistlock","medium","1.1.1k-7.el8_6","1.1.1k-9.el8_7","2023-02-08",,"openssl;openssl-libs","os",,"medium - twistlock","5.9 - twistlock","5.9",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-43552","https://access.redhat.com/errata/RHSA-2023:2963 - twistlock","low","7.61.1-25.el8_7.1","7.61.1-30.el8","2023-02-09",,"curl;libcurl","os",,"low - twistlock","5.9 - twistlock","5.9",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-4415","https://access.redhat.com/errata/RHSA-2023:0837 - twistlock","medium","239-68.el8_7.2","239-68.el8_7.4","2023-01-11",,"systemd;systemd-libs;systemd-pam","os",,"medium - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,"3","2","false",,"twistlock","nvd-status(analyzed)"
