image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2018-1000500","https://nvd.nist.gov/vuln/detail/CVE-2018-1000500 - twistlock","high","1.31.0","1.32.0","2018-06-26",,"busybox","app","/bin/busybox","high - twistlock","8.1 - twistlock","8.1",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42374","https://nvd.nist.gov/vuln/detail/CVE-2021-42374 - twistlock","medium","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","medium - twistlock","5.3 - twistlock","5.3",,,,,"CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42376","https://nvd.nist.gov/vuln/detail/CVE-2021-42376 - twistlock","medium","1.31.0","1.34.0","2021-11-15",,"busybox","app","/bin/busybox","medium - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42378","https://nvd.nist.gov/vuln/detail/CVE-2021-42378 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42379","https://nvd.nist.gov/vuln/detail/CVE-2021-42379 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42380","https://nvd.nist.gov/vuln/detail/CVE-2021-42380 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42381","https://nvd.nist.gov/vuln/detail/CVE-2021-42381 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42382","https://nvd.nist.gov/vuln/detail/CVE-2021-42382 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42384","https://nvd.nist.gov/vuln/detail/CVE-2021-42384 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-exporter-v0.6.0","v0.6.0","sha256:34d4b5e942caa43b64dd11cd30f4fcec5d5e6f1db874faf4d4aa808222a4d213","linux:amd64:","Yes","CVE-2021-42385","https://nvd.nist.gov/vuln/detail/CVE-2021-42385 - twistlock","high","1.31.0","1.33.2","2021-11-15",,"busybox","app","/bin/busybox","high - twistlock","7.2 - twistlock","7.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,"0","0","true",,"twistlock","nvd-status(modified)"
