image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2020-19188","https://access.redhat.com/security/cve/CVE-2020-19188 - twistlock","low","6.1-10.20180224.el8",,"2023-08-22",,"ncurses-base;ncurses-libs","os",,"low - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","false",,"twistlock","nvd-status(analyzed)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2021-39537","https://access.redhat.com/security/cve/CVE-2021-39537 - twistlock","low","6.1-10.20180224.el8",,"2021-09-20",,"ncurses-base;ncurses-libs","os",,"low - twistlock","5.5 - twistlock","5.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,"22","0","false",,"twistlock","nvd-status(modified)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2021-43618","https://access.redhat.com/security/cve/CVE-2021-43618 - twistlock","medium","6.1.2-10.el8",,"2021-11-15",,"gmp","os",,"medium - twistlock","6.2 - twistlock","6.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"22","0","false",,"twistlock","nvd-status(modified)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-28322","https://access.redhat.com/security/cve/CVE-2023-28322 - twistlock","low","7.61.1-33.el8",,"2023-05-26",,"curl;libcurl","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N",,"22","0","false",,"twistlock","nvd-status(undergoing analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-29499","https://access.redhat.com/security/cve/CVE-2023-29499 - twistlock","low","2.56.4-161.el8",,"2023-09-14",,"glib2","os",,"low - twistlock","6.2 - twistlock","6.2",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-32611","https://access.redhat.com/security/cve/CVE-2023-32611 - twistlock","low","2.56.4-161.el8",,"2023-09-14",,"glib2","os",,"low - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-32665","https://access.redhat.com/security/cve/CVE-2023-32665 - twistlock","low","2.56.4-161.el8",,"2023-09-14",,"glib2","os",,"low - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-37920","https://access.redhat.com/security/cve/CVE-2023-37920 - twistlock","low","2023.2.60_v7.0.306-80.0.el8_8",,"2023-07-25",,"ca-certificates","os",,"low - twistlock","9.1 - twistlock","9.1",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-38546","https://access.redhat.com/security/cve/CVE-2023-38546 - twistlock","low","7.61.1-33.el8",,"2023-10-18",,"curl;libcurl","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-46218","https://access.redhat.com/security/cve/CVE-2023-46218 - twistlock","medium","7.61.1-33.el8",,"2023-12-07",,"curl;libcurl","os",,"medium - twistlock","5.3 - twistlock","5.3",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N",,"22","0","false",,"twistlock","nvd-status(undergoing analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-5455","https://access.redhat.com/security/cve/CVE-2023-5455 - twistlock","medium","1.18.2-26.el8_9",,"2024-01-10",,"krb5-libs","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-6004","https://access.redhat.com/security/cve/CVE-2023-6004 - twistlock","low","0.9.6-13.el8_9",,"2024-01-03",,"libssh;libssh-config","os",,"low - twistlock","6.1 - twistlock","6.1",,,,,"CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:L",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-6918","https://access.redhat.com/security/cve/CVE-2023-6918 - twistlock","low","0.9.6-13.el8_9",,"2023-12-19",,"libssh;libssh-config","os",,"low - twistlock","3.7 - twistlock","3.7",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L",,"22","0","false",,"twistlock","nvd-status(undergoing analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2023-7008","https://access.redhat.com/security/cve/CVE-2023-7008 - twistlock","medium","239-78.el8",,"2023-12-23",,"systemd-libs","os",,"medium - twistlock","5.9 - twistlock","5.9",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N",,"22","0","false",,"twistlock","nvd-status(awaiting analysis)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2024-0232","https://access.redhat.com/security/cve/CVE-2024-0232 - twistlock","low","3.26.0-19.el8_9",,"2024-01-16",,"sqlite-libs","os",,"low - twistlock","4.7 - twistlock","4.7",,,,,"CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"22","0","false",,"twistlock","nvd-status(analyzed)"
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2024-2236","https://access.redhat.com/security/cve/CVE-2024-2236 - twistlock","medium","1.8.5-7.el8_6",,"2024-03-06",,"libgcrypt","os",,"medium - twistlock","5.9 - twistlock","5.9",,,,,,,"22","0","false",,"twistlock",
"ubi8-ubi-minimal-latest","latest","sha256:d917ca6754699f2f655c08fe820d0a4eb5d1ae4900d85ba7daebe5b8ee591be5","linux:amd64:","No","CVE-2024-2398","https://access.redhat.com/security/cve/CVE-2024-2398 - twistlock","medium","7.61.1-33.el8",,"2024-03-27",,"curl;libcurl","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,,,"22","0","false",,"twistlock",
